    x          z
  -26.5982   -2.5393
  -26.5289   -2.6032
  -26.2437   -2.5866
  -26.1826   -2.8291
  -25.7838   -2.4334
  -25.7110   -2.5139
  -25.7436   -2.6602
  -25.7255   -2.7031
  -25.7648   -2.2772
  -25.4802   -2.0004
  -25.3146   -2.2904
  -24.9050   -2.2997
  -24.9134   -2.4867
  -24.7719   -2.5159
  -24.3943   -2.7666
  -24.1248   -2.8261
  -24.0263   -2.6991
  -23.6431   -2.5701
  -23.9041   -2.0063
  -23.8801   -1.8058
  -23.7877   -1.8479
  -23.8535   -1.5617
  -24.1046   -1.3149
  -24.0031   -1.4156
  -23.9017   -1.1804
  -23.5097   -1.2349
  -23.3003   -1.2116
  -23.4782   -1.1458
  -23.5397   -1.0064
  -23.7037   -0.4335
   30.0263   -4.0132
   29.9942   -3.7632
   30.0510   -3.9274
   30.1586   -3.5894
   30.2410   -3.2104
   30.0329   -3.1185
   30.0868   -2.9909
   29.2819   -2.6410
   29.3629   -2.6665
   29.4303   -3.0377
   29.1283   -3.0391
   29.6275   -3.2205
   29.4369   -3.7197
   29.8666   -4.5402
   29.8986   -4.8518
   29.9133   -4.9281
   29.7330   -5.1271
   29.3737   -5.0254
   29.0349   -5.2084
   29.1652   -5.4322
   28.9915   -5.7238
   28.8243   -5.6263
   28.8595   -5.8735
   28.6188   -6.1128
   28.3340   -6.2092
   28.5272   -6.4928
   27.5964   -6.1625
   27.4325   -6.1208
   27.5230   -6.2324
   27.1663   -6.5574
   23.6916    6.1454
   23.8254    6.2551
   23.7280    6.3388
   23.2114    6.4945
   22.9890    6.5310
   22.9197    6.7747
   22.6075    6.7717
   22.9398    6.9360
   22.7805    7.3288
   22.6574    7.9819
   22.9285    7.7063
   22.9147    7.7437
   22.2904    7.9516
   22.1017    7.5290
   21.9655    7.8103
   20.9718    7.6896
   21.1195    7.5596
   21.0236    7.5872
   21.1052    7.7204
   21.0703    8.2108
   21.3986    8.8821
   21.0240    8.6155
   21.2948    8.7911
   21.4358    8.3599
   21.6187    8.1554
   21.4954    8.1779
   21.3966    7.7587
   21.3426    7.9048
   21.1205    7.7109
   20.6157    8.2606
  -16.4108   -3.6955
  -16.5758   -3.6863
  -15.6549   -4.3781
  -15.6233   -4.0536
  -15.6152   -3.9832
  -15.7061   -3.7349
  -16.0152   -3.9463
  -16.0924   -3.9028
  -15.7520   -4.1453
  -15.9984   -4.3850
  -16.2189   -4.3679
  -16.0843   -4.1524
  -15.9370   -3.9897
  -15.8305   -3.5989
  -15.4608   -3.5147
  -14.6041   -3.0272
  -14.6027   -3.1547
  -14.2405   -3.1672
  -14.0042   -3.1176
  -13.6860   -2.9203
  -13.7071   -2.6805
  -13.7545   -2.4663
  -13.6936   -2.4160
  -13.1319   -2.3286
  -12.9303   -2.2742
  -13.0506   -2.3869
  -12.8387   -2.6957
  -12.7202   -2.2480
  -12.5851   -2.6416
  -12.8758   -3.3415
    5.9419    3.9210
    5.9107    3.8840
    6.1558    3.8378
    6.4816    4.0866
    7.0633    3.8148
    7.0310    3.7799
    7.1666    3.3414
    7.4726    3.6066
    7.6504    3.8343
    7.6935    3.4072
    8.1111    3.2612
    8.2894    3.0733
    8.1328    3.4974
    7.8982    3.8520
    7.4185    4.1117
    7.3492    4.0880
    6.7363    4.0833
    6.7040    3.9515
    6.3507    4.2437
    5.7672    4.2641
    5.5156    4.0315
    5.4366    4.2342
    5.1596    4.0433
    4.8992    3.8600
    4.6745    3.8467
    4.4715    3.3973
    4.4104    3.3646
    4.6671    3.1201
    4.9722    3.2703
    4.3942    3.6964
  -25.2750   11.8746
  -24.9050   11.3313
  -24.5891   11.0069
  -24.4238   11.2266
  -24.2663   10.9683
  -24.1095   11.0575
  -23.9865   10.6781
  -23.7320   10.2282
  -23.2654   10.2129
  -22.9799    9.5575
  -23.0283    9.3772
  -23.1206    9.4656
  -22.8071    9.5694
  -22.5550    9.3290
  -22.5341    9.0786
  -22.4472    8.8572
  -21.9903    8.7925
  -22.0219    8.9290
  -21.9392    9.0759
  -21.8484    8.8224
  -21.2725    8.3017
  -21.3061    8.3109
  -21.3374    8.2412
  -21.8201    7.9453
  -21.8588    7.8611
  -21.6587    7.8151
  -21.8557    7.8309
  -22.0572    6.9689
  -22.1520    7.2558
  -22.5918    7.3434
